"plant"	"season"	"eois_sp1"	"eois_sp2"	"quadrus_sp"	"heraclides_sp"	"geometridae_sp1"	"geometridae_sp2"	"geometridae_sp3"	"geometridae_sp4"	"geometridae_sp5"	"geometridae_sp6"	"geometridae_sp7"	"geometridae_sp8"	"gonodonta_sp1"	"arctiinae_sp1"	"arctiinae_sp2"	"caterpillar_sp1"	"caterpillar_sp2"	"memphis_sp"
"1"	"10"	"dry"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"14"	"dry"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"17"	"dry"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"18"	"dry"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"19"	"dry"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"1C"	"dry"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"7"	"2"	"dry"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"20B"	"dry"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"9"	"21B"	"dry"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"10"	"22B"	"dry"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"11"	"23B"	"dry"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"12"	"27B"	"dry"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"29"	"dry"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"2C"	"dry"	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"3"	"dry"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"30"	"dry"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17"	"33"	"dry"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	"39"	"dry"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	"3C"	"dry"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	"48"	"dry"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"49"	"dry"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"5"	"dry"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23"	"50"	"dry"	15	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"24"	"51"	"dry"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"52"	"dry"	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	"54"	"dry"	4	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"27"	"56"	"dry"	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"6"	"dry"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	"60"	"dry"	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"63"	"dry"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"31"	"65"	"dry"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"68"	"dry"	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33"	"70"	"dry"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"34"	"71"	"dry"	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"72"	"dry"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"36"	"73"	"dry"	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"37"	"75"	"dry"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"77"	"dry"	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"39"	"80"	"dry"	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40"	"86"	"dry"	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"41"	"87"	"dry"	3	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"42"	"9"	"dry"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	"90"	"dry"	4	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
"44"	"92"	"dry"	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"93"	"dry"	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"46"	"94"	"dry"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	"97"	"dry"	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
