plant,season,herbivory,structural_pd,compositional_pd
1,rainy,0.038289524,79.72416629,6.685258673
10,dry,0.076629937,94.64868763,8.033665947
11,rainy,0.083760817,101.7684316,4.843269447
12,rainy,0.052939857,119.2742877,7.173923432
12B,rainy,0.054055325,101.8107607,7.421707114
13,rainy,0.120662102,113.1576101,3.198707198
13B,rainy,0.139689747,119.3571084,7.285094184
14,dry,0.119572546,102.5815848,7.788766648
14B,rainy,0.118054415,110.3578956,4.919249465
15,rainy,0.05930444,104.5945954,6.021919114
15B,rainy,0.124282954,102.3186412,7.533593512
16,rainy,0.092676187,84.23383532,6.413128124
16B,rainy,0.154732913,122.4464187,8.798834328
17,dry,0.068183966,95.16547499,5.663547488
17B,rainy,0.06793717,97.0182587,7.132097609
18,dry,0.213429422,117.01444,8.46049283
18B,rainy,0.022983091,115.4242184,5.027569374
19,dry,0.104425309,103.1208744,2.822440671
1B,rainy,0.05365647,121.9933328,8.61832078
1C,dry,0.049122054,111.3596519,9.653064145
2,dry,0.034354974,114.3879348,7.465981166
20,dry,0.093973792,120.1507746,7.043339037
20B,dry,0.083308149,112.9149232,3.141282146
21,rainy,0.112100321,106.1943724,7.458574492
21B,dry,0.119820666,99.48387438,2.580086466
22,rainy,0.113787307,120.18507,6.107750827
22B,dry,0.083075605,118.3366198,8.171472963
23,rainy,0.089565957,106.4696616,5.064912172
23B,dry,0.064144201,111.586016,4.77642941
24,rainy,0.155628356,103.228594,4.836060005
24B,rainy,0.202925458,120.3607508,4.700726885
25,dry,0.087162777,107.8755503,7.181266029
25B,rainy,0.262114691,88.85199673,5.665959677
26,rainy,0.111240418,99.25430296,7.230240324
26B,rainy,0.181439352,109.6213135,8.559514942
27,rainy,0.100924709,103.1393517,5.04005791
27B,dry,0.122555071,121.5431399,6.792705546
28,rainy,0.091982971,105.3785667,4.730553709
28B,dry,0.098393424,108.6791123,7.093135889
29,dry,0.095502317,115.9225382,7.415804606
29B,rainy,0.166127273,119.8222312,8.629624043
2B,rainy,0.14102053,103.543705,8.49326501
2C,dry,0.087534237,110.3381063,7.786199328
3,dry,0.114815599,102.4042295,8.139653359
30,dry,0.059404948,121.2475938,8.13565061
30B,rainy,0.031813368,137.9406686,7.866332675
31,rainy,0.08525301,102.3307355,4.364849292
31B,rainy,0.072533662,120.6135761,2.786122275
32,rainy,0.117030623,97.73400478,6.173763418
33,dry,0.045701991,112.2662325,7.802839033
34,rainy,0.054575099,121.7616968,4.926887697
35,dry,0.112131677,108.2819387,6.988684736
36,dry,0.054919179,104.7213139,5.128112246
37,dry,0.101866703,129.5308463,4.922600295
38,rainy,0.080520575,103.2451985,6.133942336
39,dry,0.176492238,97.18430808,8.369685957
3B,dry,0.133453848,101.5435467,8.513596871
3C,dry,0.087652036,84.32123224,7.536988292
4,rainy,0.103267404,93.61462738,8.265325109
40,rainy,0.238834856,109.7230188,5.437119574
41,rainy,0.073702625,121.1019065,3.304511752
42,dry,0.071913218,116.5165996,7.854924467
43,dry,0.259608469,99.68734475,9.43527161
44,rainy,0.063419633,109.4589262,9.794789498
45,rainy,0.134872308,98.67847752,8.87861849
47,rainy,0.137197359,102.2828156,7.47963202
48,dry,0.150081031,101.3093056,5.379041496
49,dry,0.130860868,109.1211367,8.258951246
4B,dry,0.204190051,114.2470794,9.879670413
4C,dry,0.110797582,103.4267105,6.320578302
5,dry,0.087181481,102.0803942,7.968887623
50,dry,0.120958058,106.3844658,9.42737267
51,dry,0.133956196,100.3892042,9.269997057
52,dry,0.081342813,94.86242245,8.646883781
53,dry,0.044498696,110.8404662,6.557982275
54,dry,0.187638557,115.0973368,8.248525976
55,rainy,0.164389536,88.24377657,7.087717777
56,dry,0.154446398,106.5576072,8.435687916
57,rainy,0.097561957,100.517524,4.432441063
58,rainy,0.083067482,83.33832991,6.311518473
59,rainy,0.19986698,117.5466688,4.475961008
5B,dry,0.106343381,96.67104425,5.330193893
6,dry,0.054171118,94.74146738,6.706812062
60,dry,0.160481583,74.19406124,7.54837069
61,rainy,0.20826114,55.20604231,5.340793056
62,rainy,0.183815688,120.4422,5.420765964
63,dry,0.130906669,78.57158883,7.975834196
64,rainy,0.182405354,65.65086991,3.798987371
65,dry,0.121488982,80.94304469,5.083660832
67,rainy,0.186351917,48.10631434,6.008091221
68,dry,0.180921478,67.74958694,7.483342937
6B,rainy,0.084065591,88.62943251,6.927205712
7,rainy,0.054767389,101.4776755,4.753618674
70,dry,0.172758807,104.7657158,7.648350398
71,dry,0.141694056,55.58468541,9.312192433
72,dry,0.190270162,69.73137974,8.631621768
73,dry,0.231761506,99.77464918,7.0680145
74,rainy,0.180321917,108.0587489,6.921659628
75,dry,0.136092649,77.59142588,7.787395163
76,rainy,0.163189049,104.4764816,4.388187332
77,dry,0.163826361,56.92733698,8.405252205
79,rainy,0.260311831,60.46798493,4.962637424
7B,dry,0.024885219,116.2367605,3.444247676
8,rainy,0.101405317,115.6811057,6.436214152
80,dry,0.25064146,100.9544012,8.331399306
82,rainy,0.114722589,113.4625802,4.051722761
83,rainy,0.251972389,109.8827049,6.774129311
84,rainy,0.234912927,136.6300429,5.795379445
85,rainy,0.188583892,86.5117995,3.426123386
86,dry,0.146357964,61.04858641,7.435812863
87,dry,0.153191221,85.33137025,8.254181771
88,rainy,0.089526266,89.5287259,6.88628467
89,rainy,0.107200018,116.4848922,7.38683333
8B,dry,0.152144742,101.932675,6.887632881
9,dry,0.042993426,116.8863678,6.613969027
90,dry,0.218135809,56.03745832,7.765987344
91,rainy,0.138412102,62.21200723,7.833844788
92,dry,0.208139505,63.50561926,6.360974385
93,dry,0.241323224,59.99196668,7.950137174
94,dry,0.185351809,78.98845033,6.746331659
95,rainy,0.203600401,135.7369042,6.740514866
96,rainy,0.169586876,99.73184585,6.079625992
97,dry,0.116384283,102.6558239,6.788614566
9B,rainy,0.054738938,113.2590294,8.394960397
