"plant"	"season"	"nleaves"	"height"	"herbivory"	"structural_pd"	"compositional_pd"	"comp_PC1"	"comp_PC2"
"1"	"1"	"rainy"	197	235	0.0382895243333333	79.7241662866667	6.68525867300542	-3.378422443	1.58618921233333
"2"	"10"	"dry"	234	174	0.0766299373333333	94.6486876333333	8.03366594716183	-3.561451002	1.08201434666667
"3"	"11"	"rainy"	301	149	0.0837608166666667	101.76843163	4.84326944666988	4.64582903466667	0.0522871036666667
"4"	"12"	"rainy"	222	160	0.052939857	119.2742877	7.17392343236143	1.052648741	-0.224071331666667
"5"	"12B"	"rainy"	37	86	0.0540553253333333	101.810760666667	7.42170711397343	0.731948326	1.19782217333333
"6"	"13"	"rainy"	252	154	0.120662102333333	113.157610066667	3.19870719765786	8.51591305633333	0.188101668
"7"	"13B"	"rainy"	48	42	0.139689747333333	119.357108366667	7.28509418439715	1.57635756166667	0.052626324
"8"	"14"	"dry"	451	180	0.119572546	102.58158483	7.78876664821688	-4.90723625566667	1.201907624
"9"	"14B"	"rainy"	51	61	0.118054415	110.35789562	4.91924946494881	4.703669352	-0.193340123
"10"	"15"	"rainy"	464	254	0.0593044396666667	104.59459536	6.02191911425394	0.546810735	-0.184164836333333
"11"	"15B"	"rainy"	57	78	0.124282953666667	102.318641236667	7.53359351232497	1.655770824	-0.776442881666667
"12"	"16"	"rainy"	223	141	0.0926761866666667	84.23383532	6.41312812352236	0.444668992	0.361562929333333
"13"	"16B"	"rainy"	37	59	0.154732913333333	122.4464187	8.79883432836201	-2.20470473366667	-0.837011113333333
"14"	"17"	"dry"	266	128	0.0681839656666667	95.1654749866667	5.66354748806293	5.17680862533333	0.213071227
"15"	"17B"	"rainy"	115	120	0.0679371696666667	97.0182587	7.13209760901621	-2.33741642433333	-0.592608211
"16"	"18"	"dry"	214	199	0.213429421666667	117.01444	8.46049283005257	-3.019964184	-1.168009603
"17"	"18B"	"rainy"	45	54	0.0229830913333333	115.4242184	5.02756937415967	4.90557152666667	-0.304098967666667
"18"	"19"	"dry"	74	91	0.104425309333333	103.120874403333	2.82244067128712	8.31942794966667	0.170947059333333
"19"	"1B"	"rainy"	114	70	0.0536564696666667	121.993332833333	8.61832078025311	-2.12871337933333	0.279355746333333
"20"	"1C"	"dry"	105	120	0.049122054	111.359651866667	9.65306414472207	-2.12698428566667	0.445288871333333
"21"	"2"	"dry"	289	304	0.0343549736666667	114.38793479	7.46598116568422	0.843090876666667	0.698032471333333
"22"	"20"	"dry"	156	125	0.093973792	120.1507746	7.04333903722865	-4.13720749833333	-1.852503076
"23"	"20B"	"dry"	41	48	0.0833081493333333	112.9149232	3.14128214592314	8.20312501666667	0.0642712763333333
"24"	"21"	"rainy"	209	179	0.112100321333333	106.19437242	7.45857449239518	1.81698565233333	-0.0721128776666667
"25"	"21B"	"dry"	52	78	0.119820665666667	99.4838743833333	2.5800864659133	8.168510573	0.167064701
"26"	"22"	"rainy"	236	278	0.113787306666667	120.185069966667	6.10775082736799	0.0600807113333331	-0.205305291666667
"27"	"22B"	"dry"	54	68	0.0830756053333333	118.336619833333	8.17147296311184	-2.52547143666667	-0.869979983
"28"	"23"	"rainy"	393	220	0.0895659573333333	106.469661633333	5.06491217184	-0.426491925666667	-0.476682144666667
"29"	"23B"	"dry"	172	140	0.0641442006666667	111.586016	4.77642940967923	4.55068671166667	0.312601402333333
"30"	"24"	"rainy"	117	97	0.155628355666667	103.22859401	4.83606000524172	4.10955939166667	0.475876011
"31"	"24B"	"rainy"	35	52	0.202925458	120.360750753333	4.70072688454842	4.34083357733333	0.0896905613333333
"32"	"25"	"dry"	320	191	0.087162777	107.8755503	7.18126602949462	-2.081998369	-4.99352670666667
"33"	"25B"	"rainy"	77	125	0.262114690666667	88.85199673	5.66595967679826	-0.708473644333334	0.397043685666667
"34"	"26"	"rainy"	445	202	0.111240418	99.2543029566667	7.23024032351574	0.609392388	0.575714764333333
"35"	"26B"	"rainy"	47	52	0.181439352333333	109.621313503333	8.55951494218747	-2.00623921333333	0.0779529536666667
"36"	"27"	"rainy"	480	124	0.100924709	103.139351723333	5.04005790962996	4.40651568166667	0.146898657666667
"37"	"27B"	"dry"	33	71	0.122555071333333	121.543139866667	6.79270554639337	1.142865887	0.476732501666667
"38"	"28"	"rainy"	858	270	0.0919829713333333	105.3785667	4.73055370878569	4.301363394	0.80791345
"39"	"28B"	"dry"	102	101	0.098393424	108.679112266667	7.09313588882031	1.13310524266667	0.904063565333333
"40"	"29"	"dry"	94	90	0.0955023166666667	115.922538166667	7.41580460557386	-2.974150013	-0.126036034
"41"	"29B"	"rainy"	77	70	0.166127273333333	119.8222312	8.62962404286807	-3.461689664	-0.272380885333333
"42"	"2B"	"rainy"	54	81	0.14102053	103.543705	8.49326500998218	-0.947074215666667	-5.23915942933333
"43"	"2C"	"dry"	210	153	0.0875342373333333	110.3381063	7.78619932805484	1.62141328266667	0.126338315666667
"44"	"3"	"dry"	73	119	0.114815599	102.4042295	8.13965335901375	-3.870523689	1.59403069933333
"45"	"30"	"dry"	212	178	0.059404948	121.2475938	8.13565061047552	-3.09472750933333	-0.965789196666667
